,OFCmed_L,Thal_PuI_L,SN_pr_R,Precuneus_R,Temporal_Inf_R,Cerebellum_6_R,Thal_AV_L,Paracentral_Lobule_R,Thal_PuL_R,Frontal_Med_Orb_R,Cuneus_L,Thal_MDl_R,Vermis_6,Frontal_Sup_Medial_L,Heschl_R,Cerebellum_10_R,Caudate_R,Precentral_R,Thal_PuA_R,Putamen_L,Frontal_Med_Orb_L,Calcarine_L,Thal_MGN_R,SupraMarginal_R,Postcentral_L
Heschl_R,0.18082901883575417,0.05185517348102601,0.46001103697815193,-0.3311569090945846,0.3311695340801833,0.13551678106371273,0.4002021504461377,-0.5089717970130943,0.4579086532246582,0.02609796420583001,-0.23257142724590932,0.5242984831225028,-0.11767905983747946,0.13007877555620487,1.0,0.24969335761747347,0.48548353833811736,-0.5633827835113713,0.7809893404319151,0.3485217846503494,0.028484594889438584,-0.26434419610032966,0.11177275350048313,3.850582444837051e-06,-0.2920044360715921
Cerebellum_10_R,0.3388709912266019,0.42739614442202356,0.26261332553248046,0.38971295599762334,0.6995717099229328,0.674361318431164,0.5198562227822268,0.2777648580803968,0.3677872469697733,0.16527952191429562,0.19465515673485673,0.40113709447315543,0.4039095835570099,0.367020364317673,0.24969335761747347,1.0,0.5148612322464544,-0.01991830336504488,0.40753353861783265,0.45273506919888495,-0.13616976857113405,0.40618382790561225,0.03319504526203479,0.2519471248512565,0.13859009881434717
Caudate_R,0.2731388603180442,0.2487464089472093,0.5821764815296822,0.34214180518204024,0.4910486246109503,0.366330213678979,0.5560345760151963,0.12402447985849493,0.6081242525200137,-0.0005104008711711823,-0.018623933217023148,0.5226402001737034,0.13499021861013183,0.6803610549967547,0.48548353833811736,0.5148612322464544,1.0,0.1153708516873823,0.5136584479885647,0.805163026497894,-0.12411963811126969,0.22105133882390415,0.30825918393889085,0.44120059420180385,0.19608156560766843
Precentral_R,-0.07004415834309796,0.10429890053401511,-0.04265488531823778,0.7383719848837547,-0.08919275112460155,0.03917035370525121,-0.028793353104259296,0.6814652270721221,0.11437090887325854,-0.18621928169929355,0.4944126830380855,-0.20457971193714997,0.252571438314227,0.439367656354727,-0.5633827835113713,-0.01991830336504488,0.1153708516873823,1.0,-0.4624418129607368,0.005990965416237818,-0.22977105331948527,0.5289567120194801,0.04231238845693179,0.443414244022517,0.7728450443789052
Thal_PuA_R,0.28891077668636295,0.3132032497946075,0.4323170558504277,-0.18105808056482234,0.43301042385199634,0.3431901062939117,0.4813661710308029,-0.3151333365148238,0.5621544327702439,0.13949828782366427,-0.14898529522228623,0.7376683780303571,0.012557912494437882,0.20670593697225964,0.7809893404319151,0.40753353861783265,0.5136584479885647,-0.4624418129607368,1.0,0.43647353379131215,-0.05154634478904675,-0.03555296282016388,0.12438375182384616,0.029004164350004386,-0.2851693421009683
Putamen_L,0.2115937927780559,0.28155692857848075,0.3294858762820017,0.3698616939000191,0.5256884529015294,0.36942076468230295,0.4657534832087187,0.24162452440710355,0.4009040939619933,0.08257526539337874,-0.004278110378980732,0.6236844788791432,0.033889888983830364,0.5196518757565598,0.3485217846503494,0.45273506919888495,0.805163026497894,0.005990965416237818,0.43647353379131215,1.0,-0.07440783797459771,0.18632120500551153,0.4287329615868281,0.41629151910359424,0.2000848135248891
Frontal_Med_Orb_L,0.16832374263667627,-0.2528121547441449,0.008686012796496391,-0.35563964976980145,-0.2278154085702758,-0.3182583558652133,-0.018421221820145488,-0.31006696087257746,0.02805239973707249,0.15013480964643108,-0.45560674525959793,-0.21478544082069745,-0.43957267259491783,-0.32328265423722513,0.028484594889438584,-0.13616976857113405,-0.12411963811126969,-0.22977105331948527,-0.05154634478904675,-0.07440783797459771,1.0,-0.45285542477455015,-0.04878930038117281,-0.24382500317180122,-0.20665359931140953
Calcarine_L,0.04549729518022061,0.5186950220206484,-0.03908567611833447,0.785347529922564,0.648102721030474,0.7888430854069712,0.3359215747627842,0.811259588867243,-0.03236282903963042,0.04727623761141555,0.7626962185154842,0.2239287237603679,0.835745523895962,0.5406576217176675,-0.26434419610032966,0.40618382790561225,0.22105133882390415,0.5289567120194801,-0.03555296282016388,0.18632120500551153,-0.45285542477455015,1.0,0.0023299751636680095,0.35332682407831817,0.5998556267450337
Thal_MGN_R,0.004510347562499966,0.044769546650789666,0.5278237082787405,0.14754293038122654,0.06695937286919122,0.020752335142221297,-0.18557678247048,0.07683244531320309,0.023333276605440337,-0.2859069625742935,-0.15925670047008272,0.0781871777394875,-0.18682972608257822,0.21071820061149713,0.11177275350048313,0.03319504526203479,0.30825918393889085,0.04231238845693179,0.12438375182384616,0.4287329615868281,-0.04878930038117281,0.0023299751636680095,1.0,0.12016525890410804,0.07664424307606792
SupraMarginal_R,0.09534810013233813,0.5043631802379718,0.08966879992227643,0.5560691840522185,0.280787947346277,0.21356220429512207,0.5240828135270895,0.2993593382126414,0.30313466705417136,-0.0233828568826026,0.4887373189807038,0.1560946777593533,0.27786092789036626,0.3737170015247656,3.850582444837051e-06,0.2519471248512565,0.44120059420180385,0.443414244022517,0.029004164350004386,0.41629151910359424,-0.24382500317180122,0.35332682407831817,0.12016525890410804,1.0,0.4012141506239874
Postcentral_L,-0.016243811782451073,0.08759622121671659,-0.06502641352892434,0.830316339147701,0.2108995222458013,0.29145080733067424,0.0933305572146236,0.8059235189101585,0.21103395956679766,-0.13808522123292827,0.6062358125363747,-0.037729019370544556,0.4315759791204509,0.6001478558811533,-0.2920044360715921,0.13859009881434717,0.19608156560766843,0.7728450443789052,-0.2851693421009683,0.2000848135248891,-0.20665359931140953,0.5998556267450337,0.07664424307606792,0.4012141506239874,1.0
