,Thal_MGN_R,Supp_Motor_Area_L,Thal_LP_L,Thal_MDl_L,Vermis_3,Thal_MDm_R,SN_pr_L,Frontal_Inf_Oper_L,Caudate_L,Fusiform_L,Parietal_Sup_L,Frontal_Inf_Orb_2_R,Frontal_Sup_2_R,Cingulate_Post_L,Cerebellum_3_R,Frontal_Sup_Medial_L,Paracentral_Lobule_R,Occipital_Mid_R,Thal_PuL_R,Angular_L,Thal_LP_R,Temporal_Pole_Mid_R,ParaHippocampal_R,Hippocampus_R,ACC_sup_R
Cerebellum_3_R,-0.1463667703517017,0.5139768116100127,0.604552780731525,0.27412581245341816,-0.06040929037730583,0.4374952292696947,0.48257959052002775,0.6333340925618499,0.44902097915002337,0.3138762322805328,-0.0856039894032783,0.46414936705487886,0.3557683834751417,0.4064356611297024,1.0,0.3701375384639526,0.4614616038672272,-0.5146470686159261,0.3305159028580909,0.020843855324431566,0.5382728135526194,0.12169695060041404,0.5271708790384894,0.5363523697213786,0.12289442790709763
Frontal_Sup_Medial_L,-0.15369068632105576,0.7894248927178414,0.4779029531671751,0.391754766899958,-0.006616029531440708,0.33391337172504276,0.5175917279015084,0.6779750524061068,0.45449237732690856,0.3263565141065526,0.3847810015705898,0.5156880110360738,0.8613518446605541,0.4046070656047814,0.3701375384639526,1.0,0.6218735464198549,-0.17400832155915794,0.5106363237342441,0.34441670224357807,0.459961312838999,0.3015621984414247,0.37329902111116636,0.20484154700689722,0.7464807298537284
Paracentral_Lobule_R,-0.0410601344414069,0.7495526651612272,0.34407581529284237,0.2595540888341797,0.14452228988469454,0.3424366645987844,0.4250395597719763,0.7300255177535689,0.45964201834414603,0.5484658454913138,0.6063082995355203,0.18954715011906442,0.5473458180928299,0.6998576397964917,0.4614616038672272,0.6218735464198549,1.0,0.02820566345555763,0.5252946019292414,0.5998788974453889,0.42685004082834044,0.20744969593536547,0.269536614951014,0.2524960030081213,0.5201289038759188
Occipital_Mid_R,-0.12549356713526055,-0.15866086197946455,-0.5618782490408972,-0.17257626671683232,0.6101676949338345,-0.40076166275510444,-0.37460345081191254,-0.35561137728656733,-0.5024115590232382,0.3398447988548317,0.4713400221079885,-0.6517473408679678,-0.15653454758233257,-0.03233794256868497,-0.5146470686159261,-0.17400832155915794,0.02820566345555763,1.0,-0.041376524327742074,0.5612302822867663,-0.23718948153148608,0.13709535133445305,-0.6152906268977812,-0.41847378751394626,0.16305659827932997
Thal_PuL_R,-0.3075557632864232,0.63894149828675,0.47750688786867923,0.15843514341583095,0.21395993384295933,0.37084476709756176,0.3726144559995397,0.6673234998607246,0.42825546062470976,0.24299750039898974,0.12489143246896496,0.24295181203133082,0.43895067810952193,0.34533695315771346,0.3305159028580909,0.5106363237342441,0.5252946019292414,-0.041376524327742074,1.0,0.15161294664959954,0.5908187930123279,0.18072720285958555,0.28009769238061627,0.3441491094846004,0.4933075990438616
Angular_L,-0.2211201122029972,0.30836328871057234,-0.2693154113223018,0.17581942156853625,0.2309167758373271,-0.09687346646282856,0.015488795093178909,0.19223236813781555,-0.04890628924046395,0.6198645570996282,0.7932510757399497,-0.27404968672122787,0.26126952080333915,0.3558312153977261,0.020843855324431566,0.34441670224357807,0.5998788974453889,0.5612302822867663,0.15161294664959954,1.0,-0.07467204583670005,0.2070134760774722,-0.4041796021956391,-0.33854124567395194,0.3019185591275875
Thal_LP_R,-0.04216820677167786,0.566418066265051,0.6256006331183249,0.22681811280371275,0.21728838125103783,0.3126925623097729,0.43439570697723934,0.6199541921709177,0.4224423615694604,0.20402443606508147,-0.09338965465241628,0.4700406485895076,0.4239757932221619,0.33404631971453097,0.5382728135526194,0.459961312838999,0.42685004082834044,-0.23718948153148608,0.5908187930123279,-0.07467204583670005,1.0,0.23725253506455352,0.5116621869690245,0.6523889038385052,0.3708707271007924
Temporal_Pole_Mid_R,-0.2099618789304224,0.2667089777221543,0.19211895029506476,-0.02411537700903593,0.313761391015389,0.1694312986297462,0.048045378854801785,0.19407820212004076,0.0019107885834518449,0.2902881285541373,0.09274064618320303,0.15272948641825398,0.25339715229775533,0.05132837224221937,0.12169695060041404,0.3015621984414247,0.20744969593536547,0.13709535133445305,0.18072720285958555,0.2070134760774722,0.23725253506455352,1.0,-0.16107063070862165,-0.11248184283820313,0.33556197827102713
ParaHippocampal_R,0.3038321934966092,0.46571071266023795,0.601682519722909,0.33979892588694577,-0.13473566280543411,0.46871538008979163,0.5913940465273055,0.5291187035015497,0.5524225842146034,-0.26503777358377945,-0.1649457840550659,0.6198022083142488,0.4098712360386501,0.2956176669088569,0.5271708790384894,0.37329902111116636,0.269536614951014,-0.6152906268977812,0.28009769238061627,-0.4041796021956391,0.5116621869690245,-0.16107063070862165,1.0,0.7900940571983421,0.22127948500121006
Hippocampus_R,0.18104493111983833,0.33300623130794943,0.5833696593326988,0.18004496028838582,-0.011884034749210277,0.3055348944860584,0.3746408506901429,0.4429422106685941,0.43636619494555695,-0.14613844704803977,-0.17412331328335207,0.5324130812065722,0.2460036796007369,0.27806283246548913,0.5363523697213786,0.20484154700689722,0.2524960030081213,-0.41847378751394626,0.3441491094846004,-0.33854124567395194,0.6523889038385052,-0.11248184283820313,0.7900940571983421,1.0,0.09488866587895615
ACC_sup_R,-0.014147850642356434,0.70042524894573,0.30017207808593166,0.14593600821552777,0.2792523045784846,0.17410618653057308,0.3167883617326265,0.46024765886971825,0.17189724635039869,0.3003706846749998,0.36913437706235624,0.24837667061774746,0.7647797469624331,0.5096566317280753,0.12289442790709763,0.7464807298537284,0.5201289038759188,0.16305659827932997,0.4933075990438616,0.3019185591275875,0.3708707271007924,0.33556197827102713,0.22127948500121006,0.09488866587895615,1.0
