,Parietal_Inf_R,Rolandic_Oper_R,Thal_MDm_R,Paracentral_Lobule_R,Thal_VPL_L,Cerebellum_10_R,Cerebellum_Crus2_R,Frontal_Med_Orb_L,Red_N_R,Vermis_7,SN_pc_R,Angular_L,LC_L,Supp_Motor_Area_R,Thal_PuL_R,Thal_LP_L,Thal_PuM_R,OFClat_R,Frontal_Inf_Tri_L,Thal_VA_L,Caudate_L,Olfactory_R,ACC_sub_R,Frontal_Mid_2_R,Amygdala_L
SN_pc_R,-0.13625443648495827,0.5826986369782734,0.1039170555045948,0.17513398326579496,-0.39819236465741165,0.5570858523427206,-0.26899557877139535,0.3657556520908818,0.5419040914276241,0.4405985502242597,1.0,-0.4868200371583115,-0.11908638427918827,0.21746876849131871,0.1964632541032518,-0.0670700386550294,0.08153633118844685,0.2815728775974314,-0.03645794221324085,0.10539990337739671,0.5505577928959017,-0.3306495147686803,0.018865252618209066,0.5646925071527953,-0.3283686119104293
Angular_L,0.3495592403415708,-0.6955040164551154,0.06348032965182134,0.08921097391834851,0.6125010687261194,-0.3667974335209607,0.12959048662628322,-0.5185353980746388,-0.13722858933912674,-0.6356139198738936,-0.4868200371583115,1.0,0.2850135373027136,0.07051342757900605,-0.3456771297084532,-0.04394644659044028,0.2703644513075362,-0.2454752319879244,0.49645845758101215,0.179915902570947,-0.5177820099032712,0.28907941649198576,-0.07552899036664346,-0.2158397825189895,0.41576665166701904
LC_L,-0.1488928720932629,-0.2686737003973687,0.10870813103255093,-0.03585082667027585,0.12797396098753075,0.03372723496869725,-0.001011824337418762,-0.3883878332598828,0.10867370456455701,-0.4567530795291878,-0.11908638427918827,0.2850135373027136,1.0,0.0096162444555788,-0.316931469596479,-0.2071461404235709,0.02756197853627573,0.06185969397103284,0.43465664358723816,0.10137881993632646,-0.11773190398843586,0.0754696587549277,0.04884104752603723,-0.12842174377882717,0.2061217184758647
Supp_Motor_Area_R,0.45979485046079205,0.005912619221885204,-0.06867619507405737,0.7290110766026475,0.16717362103307126,-0.11458380828682245,-0.3179145247029299,-0.16468022690687215,0.2089874140008225,0.06940842096055803,0.21746876849131871,0.07051342757900605,0.0096162444555788,1.0,0.1382351349039576,0.15069558576096828,0.29513690217955413,-0.09331810639479077,0.20984113646723693,0.2737783558939526,0.07678073916500608,0.0004918384429988908,-0.07555218842974093,0.5659171552777664,0.010596365632302693
Thal_PuL_R,0.31572372679632205,0.34333090810147865,0.045445784354022245,0.2983314358712421,0.17936941822949393,-0.033400867315210456,0.11852704435009692,0.4077891194907249,-0.03941406045825042,0.5136198799796764,0.1964632541032518,-0.3456771297084532,-0.316931469596479,0.1382351349039576,1.0,0.5283409855461714,0.361227249554184,-0.117694345713184,-0.44323817129228493,0.024692413730895393,0.3734733406591068,-0.3188499756146593,-0.0033451786564939433,0.17155411721629216,-0.03282943555936576
Thal_LP_L,0.2863214601141734,-0.0882087230596549,0.030720951142175677,0.08568635491445646,0.3793523889278135,-0.24081771663732013,-0.18805816276937673,0.003921848571899814,-0.02931261208323865,0.2668386125371397,-0.0670700386550294,-0.04394644659044028,-0.2071461404235709,0.15069558576096828,0.5283409855461714,1.0,0.24862837670995874,-0.1526349716626962,-0.1927090235494233,0.10656467339001469,0.1385334636499744,-0.15765222037407464,-0.21105168958747805,0.07756530056103864,-0.02535899241058933
Thal_PuM_R,0.2627901161308458,0.08198297046769575,0.3215359526419887,0.21897516462379474,0.5783599252224655,-0.027802092461657876,0.00913828142402727,-0.08926220125827616,0.023973253302043855,-0.14211391015502506,0.08153633118844685,0.2703644513075362,0.02756197853627573,0.29513690217955413,0.361227249554184,0.24862837670995874,1.0,-0.07772331471147015,0.2525485146564356,0.36748640689833684,0.28193526392278595,-0.14310564882087837,-0.21754951600511216,0.19379219918810014,0.3107846473884861
OFClat_R,-0.4353721026864112,0.39882831541753916,0.01573936111936305,-0.24511272427795724,-0.4232835546089291,0.5257382409658201,-0.167605303189646,0.08242254427439835,0.10661965648266536,0.06718691915102039,0.2815728775974314,-0.2454752319879244,0.06185969397103284,-0.09331810639479077,-0.117694345713184,-0.1526349716626962,-0.07772331471147015,1.0,0.1476445466669106,-0.0824083485488105,0.26724021323966096,-0.3049415391740397,0.20878911885428206,0.24997276471460225,-0.017924715026789037
Frontal_Inf_Tri_L,-0.30758390089177334,-0.3685265384131316,0.28987726054994223,-0.04424430479544984,0.2488743627929193,0.1272755574223915,-0.3298592940184422,-0.6752376902400506,0.22413989071320534,-0.4505748948236964,-0.03645794221324085,0.49645845758101215,0.43465664358723816,0.20984113646723693,-0.44323817129228493,-0.1927090235494233,0.2525485146564356,0.1476445466669106,1.0,0.3331547699586112,0.04529278354779964,0.1910065705370861,-0.05832915781064557,0.2574006539655437,0.31609963431819443
Thal_VA_L,0.1030252071504807,-0.047723220378232276,0.3694784394145955,0.12480083487245895,0.41807402869105686,-0.04751752262246459,-0.21071416106940158,-0.255313393033562,0.2371520484946401,-0.2130819011153339,0.10539990337739671,0.179915902570947,0.10137881993632646,0.2737783558939526,0.024692413730895393,0.10656467339001469,0.36748640689833684,-0.0824083485488105,0.3331547699586112,1.0,0.3015964530632461,0.1540015718884469,-0.23786256077637874,0.14846959750194128,0.051846683013687916
Caudate_L,-0.19385542522697183,0.5618254081827235,0.3431340907441961,0.0739563229834274,-0.1250663311810105,0.46341337996181947,-0.20224754839371198,0.3131216046879613,0.3355000795047538,0.39295974042125503,0.5505577928959017,-0.5177820099032712,-0.11773190398843586,0.07678073916500608,0.3734733406591068,0.1385334636499744,0.28193526392278595,0.26724021323966096,0.04529278354779964,0.3015964530632461,1.0,-0.2055141524126465,-0.17586971584093017,0.4888677630080162,-0.3686839994995461
Olfactory_R,0.022710259317253,-0.31378632427760533,0.1119318226532807,-0.007359482404358267,0.21769598485091546,-0.39364748979241526,0.08323487767816368,-0.27093865945135537,-0.08516723398570802,-0.31624984254164035,-0.3306495147686803,0.28907941649198576,0.0754696587549277,0.0004918384429988908,-0.3188499756146593,-0.15765222037407464,-0.14310564882087837,-0.3049415391740397,0.1910065705370861,0.1540015718884469,-0.2055141524126465,1.0,0.0919417152934261,-0.1585082408008191,-0.03272803097241681
ACC_sub_R,-0.2210983345247645,0.05035122795649696,-0.06814914421035605,-0.048251041859871356,-0.1741189432461486,0.029057915750362876,0.06940925780526348,0.09818608336552812,-0.12197540916441962,0.050317444870860255,0.018865252618209066,-0.07552899036664346,0.04884104752603723,-0.07555218842974093,-0.0033451786564939433,-0.21105168958747805,-0.21754951600511216,0.20878911885428206,-0.05832915781064557,-0.23786256077637874,-0.17586971584093017,0.0919417152934261,1.0,-0.10391307989710655,0.0541605197354467
Frontal_Mid_2_R,0.01815791395880408,0.4194259141190899,0.04759147624477852,0.40680972657237907,-0.1688755962159997,0.31538472657325123,-0.31670778344327805,0.15970358042697824,0.32262476637259535,0.4515951877008194,0.5646925071527953,-0.2158397825189895,-0.12842174377882717,0.5659171552777664,0.17155411721629216,0.07756530056103864,0.19379219918810014,0.24997276471460225,0.2574006539655437,0.14846959750194128,0.4888677630080162,-0.1585082408008191,-0.10391307989710655,1.0,-0.24130386717710808
Amygdala_L,-0.004614921995263725,-0.317135005281755,0.028658074204819257,-0.1654474130199124,0.2809061879230777,-0.14234221017188092,0.16804418956784,-0.32688272969782284,-0.27189621074476494,-0.3851883670866285,-0.3283686119104293,0.41576665166701904,0.2061217184758647,0.010596365632302693,-0.03282943555936576,-0.02535899241058933,0.3107846473884861,-0.017924715026789037,0.31609963431819443,0.051846683013687916,-0.3686839994995461,-0.03272803097241681,0.0541605197354467,-0.24130386717710808,1.0
