,ACC_pre_L,Temporal_Inf_R,Occipital_Mid_R,Thal_VL_R,Thal_PuM_L,Temporal_Pole_Mid_L,Cerebellum_7b_L,Pallidum_L,Cerebellum_9_R,Thal_MDl_L,Parietal_Sup_L,Thal_VA_L,Hippocampus_L,Putamen_R,Cingulate_Post_L,Paracentral_Lobule_L,Raphe_D,Temporal_Sup_L,VTA_L,LC_L,Cerebellum_10_R,Thal_VPL_R,Cingulate_Post_R,Frontal_Sup_2_R,OFCant_R
Parietal_Sup_L,0.3828975285361169,-0.9952847052303643,-0.20241420736194515,-0.8893548777013728,-0.08831043788698217,-0.24324932188948997,-0.26210433583965226,-0.9645467545126944,-0.1721477556303336,-0.904721475789136,1.0,-0.8966945845792493,-0.09935480522993564,-0.9728868556023177,-0.17341745897668698,0.9517623159793888,-0.8994290834071157,0.19577733354395646,-0.9202430385032839,-0.0663042583331849,-0.9759544038048268,-0.9728757929744418,-0.2078781778457985,0.2856352903886731,-0.9813764723588776
Thal_VA_L,-0.6089342851921012,0.9039793186307975,-0.19629498721391755,0.9889557198322304,0.4302375572293846,0.5147460837386257,0.5933389239191568,0.826160118732777,0.508184525744681,0.936990385991029,-0.8966945845792493,1.0,0.36148019421616,0.7911961843046886,0.4687908380786888,-0.8195607007885557,0.659723384087747,0.11918703134330046,0.7508157863321585,0.3576073159743025,0.8035782772236469,0.8868852744143207,0.5189940130751375,-0.398928463437833,0.8086393159183509
Hippocampus_L,-0.11145770308042496,0.1532855844918401,-0.7551930447368014,0.25160336174153025,0.9475493876372241,0.9503145062356654,0.904565496819555,0.21503109574169926,0.9481171414680826,0.055778199846369406,-0.09935480522993564,0.36148019421616,1.0,-0.09875159517242381,0.9817610552879004,0.11165146685650316,-0.31663162407425843,0.951881798767221,0.2177539422108703,0.9905846692751388,-0.0895303178175427,-0.05518925852637986,0.9630833900175843,-0.9013991330841848,-0.019216832170895492
Putamen_R,-0.29117859824115333,0.9651982576213411,0.39906473805361387,0.7996828378112432,-0.12666552689473315,0.04147257133599872,0.045641225054303014,0.9409320171274701,-0.04415166130678786,0.8563047866891988,-0.9728868556023177,0.7911961843046886,-0.09875159517242381,1.0,-0.034884091573077654,-0.9576278806954898,0.9703869775556565,-0.3922710041947336,0.905815178593322,-0.13715155391448677,0.999398245286395,0.9687808793884619,-0.00318849492492605,-0.130334667737136,0.9954051372684081
Cingulate_Post_L,-0.2966671047994549,0.22368156734886305,-0.8223784990409875,0.3759369157441584,0.98472520272665,0.9862331226187914,0.9544680319737332,0.24910609571501294,0.9881163855998584,0.1615627102807763,-0.17341745897668698,0.4687908380786888,0.9817610552879004,-0.034884091573077654,1.0,0.006389729528320492,-0.2606306406142256,0.9258737199986226,0.22999868794737371,0.9858863226505349,-0.023609021654388163,0.04149143883430648,0.9960094134958443,-0.8860149204399559,0.041545536303367506
Paracentral_Lobule_L,0.5086348680252164,-0.9346944625366329,-0.2547631009861362,-0.8459007007325665,0.06147377400933654,-0.09521984866328279,-0.10574636622464194,-0.8694398686101578,-0.011303839229018148,-0.8631574600122678,0.9517623159793888,-0.8195607007885557,0.11165146685650316,-0.9576278806954898,0.006389729528320492,1.0,-0.9229778091555694,0.37955738708002623,-0.8127548898775411,0.13016245938860083,-0.9583827091093793,-0.9646239777514503,-0.038027201848766776,0.11625774700103848,-0.9533200277303387
Raphe_D,-0.20052999326666177,0.8796349077210148,0.5770488448346004,0.6866374071482297,-0.34694652329782755,-0.1876728463522224,-0.16307293934457412,0.8504083840445998,-0.26537358681459927,0.7992975325820865,-0.8994290834071157,0.659723384087747,-0.31663162407425843,0.9703869775556565,-0.2606306406142256,-0.9229778091555694,1.0,-0.5865082513936836,0.8224745359712031,-0.3547683357125851,0.9676970481481549,0.9254964372331902,-0.22987795692753538,0.08656840741458699,0.9479659977505829
Temporal_Sup_L,-0.06598069092259205,-0.1446732854806098,-0.847680259369588,0.020402299523722633,0.9301555686676604,0.8755971069889413,0.8430032543774738,-0.09278140375962346,0.9065578808709774,-0.1819974613595079,0.19577733354395646,0.11918703134330046,0.951881798767221,-0.3922710041947336,0.9258737199986226,0.37955738708002623,-0.5865082513936836,1.0,-0.08439642599978618,0.9596444137511311,-0.38249974500018985,-0.32865691830364324,0.9036046816056524,-0.7819953036505637,-0.318721719610686
VTA_L,-0.08192018014305844,0.9367426488562259,0.27518144319082427,0.7023779072698342,0.09894308536733384,0.2879309563388517,0.25107047281649103,0.9837751915019763,0.17846653975638316,0.7168244712615085,-0.9202430385032839,0.7508157863321585,0.2177539422108703,0.905815178593322,0.22999868794737371,-0.8127548898775411,0.8224745359712031,-0.08439642599978618,1.0,0.1516600318756033,0.903550719715261,0.8319467044808522,0.23274520079652805,-0.4509742348310225,0.9349468699379234
LC_L,-0.18482309907968092,0.11853855044896484,-0.8120272465897784,0.2592795006872684,0.968711040378737,0.9553069593745785,0.9114166513582717,0.1628536261091849,0.9636627227234911,0.05339408186497932,-0.0663042583331849,0.3576073159743025,0.9905846692751388,-0.13715155391448677,0.9858863226505349,0.13016245938860083,-0.3547683357125851,0.9596444137511311,0.1516600318756033,1.0,-0.12535930242128668,-0.07292801083730617,0.9740734493428124,-0.8752742222361932,-0.06067878991498322
Cerebellum_10_R,-0.3033022060574,0.9684941283287336,0.3853520135256661,0.8125894903443066,-0.11356645818018565,0.050816486378789175,0.061107424046845056,0.9405958220055753,-0.030056454004344087,0.8689499880899456,-0.9759544038048268,0.8035782772236469,-0.0895303178175427,0.999398245286395,-0.023609021654388163,-0.9583827091093793,0.9676970481481549,-0.38249974500018985,0.903550719715261,-0.12535930242128668,1.0,0.9740297534285521,0.009619388896983837,-0.13086672244615194,0.994548548892761
Thal_VPL_R,-0.4676968244760167,0.9625812426029549,0.24701302565513616,0.9093490360728885,-0.018866483965090677,0.11124210675201515,0.16831402939167256,0.8925218012376721,0.06670887925552758,0.950019058437557,-0.9728757929744418,0.8868852744143207,-0.05518925852637986,0.9687808793884619,0.04149143883430648,-0.9646239777514503,0.9254964372331902,-0.32865691830364324,0.8319467044808522,-0.07292801083730617,0.9740297534285521,1.0,0.09031076000938022,-0.10004062638813106,0.9593031067902114
Cingulate_Post_R,-0.3696710609424615,0.25564298656428036,-0.8386149327006363,0.43533558172579967,0.9891492472864272,0.9856758514380373,0.966526527029189,0.26325519356309574,0.9953619598352663,0.21998146670618662,-0.2078781778457985,0.5189940130751375,0.9630833900175843,-0.00318849492492605,0.9960094134958443,-0.038027201848766776,-0.22987795692753538,0.9036046816056524,0.23274520079652805,0.9740734493428124,0.009619388896983837,0.09031076000938022,1.0,-0.859893203728788,0.06934433511634129
Frontal_Sup_2_R,0.11853191123038945,-0.3404064610372447,0.5737757269366085,-0.2924513570587951,-0.8171650956051926,-0.9122348026383834,-0.7566729025373669,-0.43331464221594435,-0.8162862095708313,-0.07860623239202516,0.2856352903886731,-0.398928463437833,-0.9013991330841848,-0.130334667737136,-0.8860149204399559,0.11625774700103848,0.08656840741458699,-0.7819953036505637,-0.4509742348310225,-0.8752742222361932,-0.13086672244615194,-0.10004062638813106,-0.859893203728788,1.0,-0.21947615313954508
OFCant_R,-0.29208325091229764,0.9790960096678867,0.3460149247850654,0.8065698836664691,-0.055872284017605196,0.12081097586525212,0.10983568360810836,0.9651285147908504,0.02519350007243683,0.8432737219166648,-0.9813764723588776,0.8086393159183509,-0.019216832170895492,0.9954051372684081,0.041545536303367506,-0.9533200277303387,0.9479659977505829,-0.318721719610686,0.9349468699379234,-0.06067878991498322,0.994548548892761,0.9593031067902114,0.06934433511634129,-0.21947615313954508,1.0
